accession	uid	title	organization	taxonomy	sra	geo	injected cells	source_name	time point	tissue	treatment
SAMN07283824	7283824	LAN1_D14_CTRL_B2_0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318450	GSM2687222	LAN-1	Neuroblastoma	day14	Tumor	DMSO (CTRL)
SAMN07283825	7283825	LAN1_D14_CTRL_B1_0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318449	GSM2687221	LAN-1	Neuroblastoma	day14	Tumor	DMSO (CTRL)
SAMN07283826	7283826	LAN1_D10_RA_B2_0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318448	GSM2687220	LAN-1	Neuroblastoma	day10	Tumor	AZA + RA
SAMN07283827	7283827	LAN1_D10_RA_B1_3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318447	GSM2687219	LAN-1	Neuroblastoma	day10	Tumor	AZA + RA
SAMN07283828	7283828	LAN1_D10_RA_B1_2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318446	GSM2687218	LAN-1	Neuroblastoma	day10	Tumor	AZA + RA
SAMN07283829	7283829	LAN1_D10_RA_B1_1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318445	GSM2687217	LAN-1	Neuroblastoma	day10	Tumor	AZA + RA
SAMN07283830	7283830	LAN1_D10_RA_B1_0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318444	GSM2687216	LAN-1	Neuroblastoma	day10	Tumor	AZA + RA
SAMN07283831	7283831	LAN1_D10_CTRL_B2_3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318443	GSM2687215	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)
SAMN07283832	7283832	LAN1_D10_CTRL_B2_2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318442	GSM2687214	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)
SAMN07283833	7283833	LAN1_D10_CTRL_B2_1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318441	GSM2687213	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)
SAMN07283834	7283834	LAN1_D10_CTRL_B2_0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318440	GSM2687212	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)
SAMN07283835	7283835	LAN1_D10_CTRL_B1_3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318439	GSM2687211	LAN-1	Neuroblastoma	day10	Tumor	DMSO (CTRL)
SAMN07283836	7283836	Lan1_C4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318438	GSM2687210	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283837	7283837	AS_ShCtrl_R3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318475	GSM2687247	SK-N-AS	Neuroblastoma	EP	Tumor	RA
SAMN07283838	7283838	AS_ShCtrl_R2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318474	GSM2687246	SK-N-AS	Neuroblastoma	EP	Tumor	RA
SAMN07283839	7283839	AS_ShCtrl_R0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318473	GSM2687245	SK-N-AS	Neuroblastoma	EP	Tumor	RA
SAMN07283840	7283840	AS_ShCtrl_C3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318472	GSM2687244	SK-N-AS	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283841	7283841	AS_ShCtrl_C2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318471	GSM2687243	SK-N-AS	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283842	7283842	AS_ShCtrl_C1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318469	GSM2687242	SK-N-AS	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283843	7283843	AS_ShCtrl_C0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318470	GSM2687241	SK-N-AS	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283844	7283844	Lan1_C1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318436	GSM2687208	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283845	7283845	Lan1_C0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318435	GSM2687207	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)
SAMN07283846	7283846	Lan1_AR4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318434	GSM2687206	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA
SAMN07283847	7283847	Lan1_AR3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318433	GSM2687205	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA
SAMN07283848	7283848	Lan1_AR1	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318432	GSM2687204	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA
SAMN07283849	7283849	Lan1_AR0	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318431	GSM2687203	LAN-1	Neuroblastoma	EP	Tumor	AZA + RA
SAMN07283850	7283850	Lan1_A4	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318430	GSM2687202	LAN-1	Neuroblastoma	EP	Tumor	AZA
SAMN07283851	7283851	CHP212_R3	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318426	GSM2687198	CHP212	Neuroblastoma	EP	Tumor	RA
SAMN07283993	7283993	Lan1_C2	Department of Cell- and Molecular Biology, Ludwig Institute for Cancer Research, Karolinska Institute	9606	SRS2318437	GSM2687209	LAN-1	Neuroblastoma	EP	Tumor	DMSO (CTRL)
