accession	uid	title	organization	taxonomy	sra	geo	disease state	source_name	tissue	treatment	tumor source
SAMN09007069	9007069	99x3s3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239548	GSM3123717	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	99
SAMN09007070	9007070	99x3q5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239547	GSM3123716	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	99
SAMN09007071	9007071	99x3p4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239545	GSM3123715	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	99
SAMN09007072	9007072	99x3p3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239546	GSM3123714	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	99
SAMN09007073	9007073	99x3p2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239543	GSM3123713	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	99
SAMN09007074	9007074	99x3m1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239542	GSM3123712	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	99
SAMN09007075	9007075	99x3k2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239541	GSM3123711	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	99
SAMN09007076	9007076	99x3j3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239540	GSM3123710	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	99
SAMN09007077	9007077	99x3j1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239539	GSM3123709	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	99
SAMN09007078	9007078	97x4j1-2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239538	GSM3123708	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	97
SAMN09007079	9007079	97x4j1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239537	GSM3123707	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	97
SAMN09007080	9007080	97x4i5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239536	GSM3123706	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	97
SAMN09007081	9007081	97x4i3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239535	GSM3123705	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	97
SAMN09007082	9007082	97x4i2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239534	GSM3123704	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	97
SAMN09007083	9007083	97x4i1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239533	GSM3123703	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	97
SAMN09007084	9007084	97x4h1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239532	GSM3123702	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	97
SAMN09007085	9007085	97x4g4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239531	GSM3123701	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	97
SAMN09007086	9007086	97x4g1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239530	GSM3123700	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	97
SAMN09007087	9007087	828x5j5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239528	GSM3123699	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	828
SAMN09007088	9007088	1222x5g1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239468	GSM3123637	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	1222
SAMN09007089	9007089	1013x3n2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239467	GSM3123636	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	1013
SAMN09007090	9007090	519x6a5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239497	GSM3123669	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	519
SAMN09007091	9007091	519x5i5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239499	GSM3123668	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	519
SAMN09007092	9007092	519oix2e5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239495	GSM3123665	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	519
SAMN09007093	9007093	519oix2b1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239494	GSM3123664	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	519
SAMN09007094	9007094	3226x5o5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239493	GSM3123663	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	3226
SAMN09007095	9007095	3226x5o3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239492	GSM3123662	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	3226
SAMN09007096	9007096	3226x5o2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239491	GSM3123661	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	3226
SAMN09007097	9007097	3226x5k1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239490	GSM3123660	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	3226
SAMN09007098	9007098	3226x5i3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239489	GSM3123659	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	3226
SAMN09007099	9007099	3226x5g1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239504	GSM3123658	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	3226
SAMN09007100	9007100	3226x5e4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239488	GSM3123657	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	3226
SAMN09007101	9007101	3226x5d3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239487	GSM3123656	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	3226
SAMN09007102	9007102	3226x5d1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239486	GSM3123655	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	3226
SAMN09007103	9007103	226x5k5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239485	GSM3123654	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	226
SAMN09007104	9007104	226x5k2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239484	GSM3123653	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	226
SAMN09007105	9007105	226x5i5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239483	GSM3123652	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	226
SAMN09007106	9007106	226x5i1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239482	GSM3123651	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	226
SAMN09007107	9007107	226x5h4	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239481	GSM3123650	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	vehicle control	226
SAMN09007108	9007108	226x5h2	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239480	GSM3123649	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib	226
SAMN09007109	9007109	226x5g5	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239479	GSM3123648	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	226
SAMN09007110	9007110	226x5g1	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239478	GSM3123647	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	226
SAMN09007111	9007111	226x5a3	Molecular & Cellular Biology, Roswell Park Comprehensive Cancer Center	9606	SRS3239477	GSM3123646	pancreatic cancer	Patient derived xenograft - pancreatic cancer	Patient derived xenograft	palbociclib + TAK228	226
